Variable,TABLA,TABLA INSUMO
max_util_interna_u00m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u01m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u02m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u03m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u04m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u05m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u06m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u07m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u08m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u09m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u10m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u11m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
max_util_interna_u12m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u01m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u02m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u03m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u04m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u05m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u06m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u07m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u08m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u09m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u10m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u11m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
min_util_interna_u12m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u01m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u02m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u03m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u04m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u05m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u06m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u07m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u08m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u09m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
