VARIABLE,TABLA,TABLA INSUMO
NUM_LSE_CF_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_LSE_OTHER_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_PQ_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_CS_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_LSG_OP_ACC      ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_R_OP_ACC        ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_CF_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_UN_CRE_OTHER_OP_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_PQ_OP_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_CS_OP_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_LSG_OP_ACC   ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
