VARIABLE,TABLA,TABLA INSUMO
dif_num_grw_mop_bk_r_op_acc,btdc_lgg_var_num_grw_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
num_op_acc_pl_op_acc_u09m,btdc_lgg_var_count_acc,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
min_num_grw_mop_tu_all_op_acc,btdc_lgg_var_num_grw_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
num_iq_03m_r,btdc_lgg_var_resumen_iq,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
min_num_dlq_bal_nbk_cl_acc,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_max_mop_hist_24m_r_cl_acc,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
dif_num_grw_mop_bk_op_acc,btdc_lgg_var_num_grw_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_num_dlq_bal_nbk_op_acc,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
pct_num_iq_24m_m,btdc_lgg_var_resumen_iq_pct,btdc_lgg_var_resumen_iq & BTDC_LGG_VAR_RESUMEN_IQ3/BTDC_LGG_VAR_RESUMEN_IQ2/BTDC_LGG_VAR_RESUMEN_IQ1/dbriskdatamart.tbl_buroconsulta_recurrente
max_max_mop_hist_24m_nbk_op_acc,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
