VARIABLE,TABLA,TABLA INSUMO
I.AVG_MS_OP_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.AVG_SALINI_BK_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.AVG_SALINI_BRG_R_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.AVG_SALINI_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.AVG_SALINI_OP_ACC_03M,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MAX_MS_OP_BK_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MAX_MS_OP_BRG_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MAX_MS_OP_BRG_R_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MAX_MS_OP_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MAX_SALINI_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_MS_OP_BK_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_MS_OP_BRG_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_MS_OP_BRG_R_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_MS_OP_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_SALINI_BK_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_SALINI_BRG_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_SALINI_BRG_R_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
I.MIN_SALINI_OP_ACC_03M,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_14__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
J.AVG_MS_CL_BK_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.AVG_MS_CL_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.AVG_MS_CL_BRG_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.AVG_MS_CL_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MAX_MS_CL_BK_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MAX_MS_CL_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MAX_MS_CL_BRG_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MAX_MS_CL_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MIN_MS_CL_BK_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MIN_MS_CL_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MIN_MS_CL_BRG_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.MIN_MS_CL_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.NUM_CLAVOBS_BK_CS_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.NUM_CLAVOBS_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
J.NUM_CLAVOBS_LSE_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC_2__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.AVG_SALINI_BK_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.AVG_SALINI_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
